TZZK01,1,0.7
TZZK01,2-2,1.5
TZZK01,4-2,9.5
TZZK01,4-3,10.8
TZZK01,5-1,16.6
TZZK01,6,27
TZZK01,7-2,35
TZZK01,9-1,43
TZZK01,10,50
TZZK02,1,0.4
TZZK02,2-2,4
TZZK02,2-3,10
TZZK02,2-5,27.5
TZZK02,2-6,43
TZZK02,2-7,50
TZZK03,1,1.9
TZZK03,2-2,4
TZZK03,2-3,12.5
TZZK03,2-5,24
TZZK03,2-6,40
TZZK03,2-7,50
TZZK04,1,2.2
TZZK04,2-2,6.6
TZZK04,4-2,13.2
TZZK04,5-1,25.5
TZZK04,6,29.5
TZZK04,7-1,34.5
TZZK04,9-1,40
TZZK04,9-2,49
TZZK04,10,50
TZZK05,1,0.3
TZZK05,2-2,3.6
TZZK05,2-3,8.9
TZZK05,4-2,15
TZZK05,5-2,26.4
TZZK05,6,31
TZZK05,7-1,37.5
TZZK05,9-1,42
TZZK05,9-2,49
TZZK05,10,50
TZZK06,1,0.3
TZZK06,2-2,3.4
TZZK06,2-3,10.7
TZZK06,2-4,18
TZZK06,6,30.6
TZZK06,9-1,40.7
TZZK06,9-2,43.5
TZZK06,9-3,48
TZZK06,10,50
TZZK07,1,0.3
TZZK07,2-2,5.6
TZZK07,2-3,13.6
TZZK07,2-4,18.3
TZZK07,4-2,24.4
TZZK07,5-1,26.3
TZZK07,6,34.6
TZZK07,7-1,39
TZZK07,8-1,50.02
TZZK08,1,0.5
TZZK08,2-2,3.1
TZZK08,2-3,7.6
TZZK08,4-2,13.6
TZZK08,4-3,15.5
TZZK08,5-1,24.3
TZZK08,6,28.1
TZZK08,7-1,39
TZZK08,8-1,50
TZZK09,1,0.3
TZZK09,2-2,5
TZZK09,2-3,12.1
TZZK09,2-4,20.3
TZZK09,5-1,24.3
TZZK09,6,35.1
TZZK09,7-2,39.1
TZZK09,9-1,43.1
TZZK09,9-2,47
TZZK09,9-3,50
TZZK10,1,0.4
TZZK10,2-2,3.1
TZZK10,2-3,15
TZZK10,2-4,22.2
TZZK10,5-1,32.5
TZZK10,6,37.2
TZZK10,7-2,40.9
TZZK10,9-1,44.4
TZZK10,9-2,50
TZZK11,1,0.3
TZZK11,2-2,4
TZZK11,2-3,9
TZZK11,2-5,22.3
TZZK11,4-2,26.5
TZZK11,4-3,28.3
TZZK11,5-1,32.9
TZZK11,6,36.3
TZZK11,7-1,42
TZZK11,8-1,50
TZZK12,1,0.5
TZZK12,2-2,4
TZZK12,2-3,10
TZZK12,2-5,25
TZZK12,2-6,40.1
TZZK12,2-7,50
TZZK13,1,0.4
TZZK13,2-2,5.5
TZZK13,2-3,10.5
TZZK13,2-5,26.9
TZZK13,2-6,45.1
TZZK13,2-7,50
TZZK14,1,0.5
TZZK14,2-2,5.6
TZZK14,2-3,13.9
TZZK14,2-5,22.2
TZZK14,5-1,34.3
TZZK14,7-2,44.6
TZZK14,8-1,50
TZZK15,1,1.1
TZZK15,2-2,2.6
TZZK15,2-3,9
TZZK15,2-5,21.5
TZZK15,2-6,36.9
TZZK15,2-7,50
TZZK16,1,0.8
TZZK16,2-2,5.3
TZZK16,2-3,10
TZZK16,2-5,25.2
TZZK16,2-6b,42.5
TZZK16,2-7,50
TZZK17,1,1.3
TZZK17,2-2,4.7
TZZK17,2-3,8.9
TZZK17,2-5,23.5
TZZK17,2-6,40
TZZK17,2-7,50
TZZK18,1,2.6
TZZK18,2-4,7
TZZK18,2-5,13.5
TZZK18,2-6b,38.5
TZZK18,2-7,50
TZZK19,1,2.6
TZZK19,2-4,5.6
